segment,distance_m,elevation_gain_m,elevation_loss_m,grade_pct,base_pace_sec,adjusted_pace_sec,adjusted_pace_str,segment_time_sec
1,1002.7,5.99,8.79,-0.2786,330,323,5:23,324
2,1000.5,9.00,21.91,-1.2906,330,318,5:18,318
3,1000.3,14.47,11.76,0.2705,330,327,5:27,327
4,1006.2,13.42,0.30,1.3034,330,338,5:38,340
5,1002.5,20.08,3.93,1.6110,330,341,5:41,341
6,1004.0,83.08,12.67,7.0131,330,395,6:35,396
7,1006.5,3.19,70.32,-6.6701,330,291,4:51,293
8,1000.5,5.37,20.31,-1.4926,330,317,5:17,317
9,1001.6,2.20,9.75,-0.7539,330,321,5:21,321
10,1001.3,34.96,17.50,1.7437,330,342,5:42,342
11,822.6,6.08,21.37,-1.8582,330,315,5:15,259
TOTAL,10848.5,,,,,,,3578
